STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
       3289;1972100107;    1;    4.1;  99.0;eor
       3289;1972100114;    1;   10.2;  68.0;eor
       3289;1972100121;    1;    2.5;  87.0;eor
       3289;1972100207;    1;   -1.1;  99.0;eor
       3289;1972100214;    1;   11.4;  50.0;eor
       3289;1972100221;    1;    2.1;  89.0;eor
       3289;1972100307;    1;   -0.7; 100.0;eor
       3289;1972100314;    1;    7.9;  53.0;eor
       3289;1972100321;    1;   -1.5;  94.0;eor
       3289;1972100407;    1;   -2.7;  96.0;eor
       3289;1972100414;    1;   10.1;  39.0;eor
       3289;1972100421;    1;   -0.3;  98.0;eor
       3289;1972100507;    1;   -4.2;  98.0;eor
       3289;1972100514;    1;   14.0;  34.0;eor
       3289;1972100521;    1;    1.1;  91.0;eor
       3289;1972100607;    1;    0.1;  98.0;eor
       3289;1972100614;    1;   15.2;  48.0;eor
       3289;1972100621;    1;    5.9;  78.0;eor
       3289;1972100707;    1;   -0.3;  98.0;eor
       3289;1972100714;    1;   17.4;  53.0;eor
       3289;1972100721;    1;    3.9;  95.0;eor
       3289;1972100807;    1;    1.3;  98.0;eor
       3289;1972100814;    1;   19.0;  35.0;eor
       3289;1972100821;    1;    4.1;  95.0;eor
       3289;1972100907;    1;    4.7;  99.0;eor
       3289;1972100914;    1;   14.2;  59.0;eor
       3289;1972100921;    1;    5.6;  86.0;eor
       3289;1972101007;    1;    4.0;  97.0;eor
       3289;1972101014;    1;   15.0;  50.0;eor
       3289;1972101021;    1;    4.8;  91.0;eor
       3289;1972101107;    1;    1.0;  85.0;eor
       3289;1972101114;    1;   17.2;  44.0;eor
       3289;1972101121;    1;    4.3;  95.0;eor
       3289;1972101207;    1;    1.3; 100.0;eor
       3289;1972101214;    1;    7.3;  96.0;eor
       3289;1972101221;    1;    6.6;  99.0;eor
       3289;1972101307;    1;    2.1;  92.0;eor
       3289;1972101314;    1;   10.2;  76.0;eor
       3289;1972101321;    1;    4.5;  84.0;eor
       3289;1972101407;    1;    4.9;  93.0;eor
       3289;1972101414;    1;    9.4;  45.0;eor
       3289;1972101421;    1;    4.3;  90.0;eor
       3289;1972101507;    1;    4.3;  92.0;eor
       3289;1972101514;    1;    6.6;  71.0;eor
       3289;1972101521;    1;    5.8;  86.0;eor
       3289;1972101607;    1;    5.6;  89.0;eor
       3289;1972101614;    1;    9.7;  74.0;eor
       3289;1972101621;    1;    7.1;  84.0;eor
       3289;1972101707;    1;    0.2; 100.0;eor
       3289;1972101714;    1;   13.1;  60.0;eor
       3289;1972101721;    1;    0.9;  91.0;eor
       3289;1972101807;    1;    5.8;  93.0;eor
       3289;1972101814;    1;    7.6;  30.0;eor
       3289;1972101821;    1;   -0.9;  83.0;eor
       3289;1972101907;    1;   -5.6;  97.0;eor
       3289;1972101914;    1;    6.4;  48.0;eor
       3289;1972101921;    1;   -3.3;  96.0;eor
       3289;1972102007;    1;   -0.1;  96.0;eor
       3289;1972102014;    1;    6.1;  65.0;eor
       3289;1972102021;    1;    1.1;  95.0;eor
       3289;1972102107;    1;    0.9;  95.0;eor
       3289;1972102114;    1;    4.4;  65.0;eor
       3289;1972102121;    1;   -0.4;  98.0;eor
       3289;1972102207;    1;    0.3;-999;eor
       3289;1972102214;    1;    5.2;-999;eor
       3289;1972102221;    1;    4.1;-999;eor
       3289;1972102307;    1;    4.9;-999;eor
       3289;1972102314;    1;    8.2;-999;eor
       3289;1972102321;    1;    8.1;-999;eor
       3289;1972102407;    1;    8.2;-999;eor
       3289;1972102414;    1;    9.1;-999;eor
       3289;1972102421;    1;    6.2;-999;eor
       3289;1972102507;    1;    3.7;-999;eor
       3289;1972102514;    1;   10.4;-999;eor
       3289;1972102521;    1;    0.3;-999;eor
       3289;1972102607;    1;    2.7;-999;eor
       3289;1972102614;    1;   14.0;-999;eor
       3289;1972102621;    1;    7.2;-999;eor
       3289;1972102707;    1;    7.2;-999;eor
       3289;1972102714;    1;   16.0;-999;eor
       3289;1972102721;    1;    7.1;-999;eor
       3289;1972102807;    1;    8.2;-999;eor
       3289;1972102814;    1;   13.0;-999;eor
       3289;1972102821;    1;    9.4;  99.0;eor
       3289;1972102907;    1;    8.0;  96.0;eor
       3289;1972102914;    1;   10.4;  83.0;eor
       3289;1972102921;    1;    3.3;  98.0;eor
       3289;1972103007;    1;    1.0; 100.0;eor
       3289;1972103014;    1;   11.2;  83.0;eor
       3289;1972103021;    1;    4.9;  99.0;eor
       3289;1972103107;    1;    3.1;  98.0;eor
       3289;1972103114;    1;   11.2;  70.0;eor
       3289;1972103121;    1;    6.2;  84.0;eor
       3289;1972110107;    1;    6.0;  86.0;eor
       3289;1972110114;    1;   12.6;  63.0;eor
       3289;1972110121;    1;    2.5;  95.0;eor
       3289;1972110207;    1;    0.8; 100.0;eor
       3289;1972110214;    1;   14.6;  55.0;eor
       3289;1972110221;    1;    4.3;  94.0;eor
       3289;1972110307;    1;    0.0; 100.0;eor
       3289;1972110314;    1;   14.3;  50.0;eor
       3289;1972110321;    1;    1.3;  98.0;eor
       3289;1972110407;    1;   -0.1; 100.0;eor
       3289;1972110414;    1;   11.4;  77.0;eor
       3289;1972110421;    1;    7.4;  89.0;eor
       3289;1972110507;    1;    5.6;  86.0;eor
       3289;1972110514;    1;    9.6;  75.0;eor
       3289;1972110521;    1;    8.2;  84.0;eor
       3289;1972110607;    1;    7.7;  92.0;eor
       3289;1972110614;    1;   10.5;  74.0;eor
       3289;1972110621;    1;    9.2;  84.0;eor
       3289;1972110707;    1;    8.4;  90.0;eor
       3289;1972110714;    1;   10.6;  80.0;eor
       3289;1972110721;    1;   10.5;  84.0;eor
       3289;1972110807;    1;    9.4;  91.0;eor
       3289;1972110814;    1;   12.6;  73.0;eor
       3289;1972110821;    1;    9.4;  89.0;eor
       3289;1972110907;    1;    8.6;  99.0;eor
       3289;1972110914;    1;    9.7;  96.0;eor
       3289;1972110921;    1;    8.6;  84.0;eor
       3289;1972111007;    1;    7.2;  88.0;eor
       3289;1972111014;    1;   10.3;  79.0;eor
       3289;1972111021;    1;    8.7;  84.0;eor
       3289;1972111107;    1;    3.7;  92.0;eor
       3289;1972111114;    1;    5.3;  83.0;eor
       3289;1972111121;    1;    1.5;  95.0;eor
       3289;1972111207;    1;    2.7;  83.0;eor
       3289;1972111214;    1;    4.4;  69.0;eor
       3289;1972111221;    1;    3.1;  80.0;eor
       3289;1972111307;    1;    5.2;  86.0;eor
       3289;1972111314;    1;    7.8;  60.0;eor
       3289;1972111321;    1;    4.3;  65.0;eor
       3289;1972111407;    1;    0.9;  86.0;eor
       3289;1972111414;    1;    5.7;  67.0;eor
       3289;1972111421;    1;    2.3;  89.0;eor
       3289;1972111507;    1;   -0.7;  98.0;eor
       3289;1972111514;    1;    1.5;  93.0;eor
       3289;1972111521;    1;    0.6;  81.0;eor
       3289;1972111607;    1;   -0.4;  78.0;eor
       3289;1972111614;    1;    1.6;  72.0;eor
       3289;1972111621;    1;    0.1;  97.0;eor
       3289;1972111707;    1;   -1.1;  91.0;eor
       3289;1972111714;    1;    1.0;  90.0;eor
       3289;1972111721;    1;    0.5;  95.0;eor
       3289;1972111807;    1;    0.8; 100.0;eor
       3289;1972111814;    1;    0.9;  88.0;eor
       3289;1972111821;    1;   -0.1;  95.0;eor
       3289;1972111907;    1;   -1.9;  98.0;eor
       3289;1972111914;    1;    0.7;  88.0;eor
       3289;1972111921;    1;   -0.1;  84.0;eor
       3289;1972112007;    1;    1.9;  85.0;eor
       3289;1972112014;    1;    5.9;  79.0;eor
       3289;1972112021;    1;    6.4;  78.0;eor
       3289;1972112107;    1;    5.4;  89.0;eor
       3289;1972112114;    1;    6.2;  70.0;eor
       3289;1972112121;    1;    5.2;  72.0;eor
       3289;1972112207;    1;    3.5;  80.0;eor
       3289;1972112214;    1;    6.5;  67.0;eor
       3289;1972112221;    1;    5.4;  79.0;eor
       3289;1972112307;    1;    4.5;  85.0;eor
       3289;1972112314;    1;    4.7;  90.0;eor
       3289;1972112321;    1;    1.4;  97.0;eor
       3289;1972112407;    1;    0.0;  89.0;eor
       3289;1972112414;    1;    0.7;  93.0;eor
       3289;1972112421;    1;    0.1;  98.0;eor
       3289;1972112507;    1;   -2.5;  92.0;eor
       3289;1972112514;    1;   -1.2;  87.0;eor
       3289;1972112521;    1;   -5.2; 100.0;eor
       3289;1972112607;    1;   -9.2;  94.0;eor
       3289;1972112614;    1;   -0.7;  94.0;eor
       3289;1972112621;    1;   -1.7;  86.0;eor
       3289;1972112707;    1;   -1.3;  87.0;eor
       3289;1972112714;    1;   -0.1;  84.0;eor
       3289;1972112721;    1;   -0.5;  94.0;eor
       3289;1972112807;    1;   -1.1;  89.0;eor
       3289;1972112814;    1;    2.0;  68.0;eor
       3289;1972112821;    1;   -0.7;  91.0;eor
       3289;1972112907;    1;    1.6;  77.0;eor
       3289;1972112914;    1;    3.3;  80.0;eor
       3289;1972112921;    1;    1.9;  85.0;eor
       3289;1972113007;    1;    1.3;  86.0;eor
       3289;1972113014;    1;    6.0;  90.0;eor
       3289;1972113021;    1;    3.0;  90.0;eor
       3289;1972120107;    1;    2.9;  81.0;eor
       3289;1972120114;    1;    5.7;  79.0;eor
       3289;1972120121;    1;    4.7;  87.0;eor
       3289;1972120207;    1;    2.7;  90.0;eor
       3289;1972120214;    1;    7.2;  75.0;eor
       3289;1972120221;    1;    3.7;  92.0;eor
       3289;1972120307;    1;    2.9;  83.0;eor
       3289;1972120314;    1;    8.2;  74.0;eor
       3289;1972120321;    1;    4.9;  84.0;eor
       3289;1972120407;    1;    1.7;  92.0;eor
       3289;1972120414;    1;    6.5;  67.0;eor
       3289;1972120421;    1;    4.3;  87.0;eor
       3289;1972120507;    1;    6.0;  74.0;eor
       3289;1972120514;    1;    6.4;  68.0;eor
       3289;1972120521;    1;    5.4;  71.0;eor
       3289;1972120607;    1;    6.3;  69.0;eor
       3289;1972120614;    1;    7.2;  66.0;eor
       3289;1972120621;    1;    4.7;  78.0;eor
       3289;1972120707;    1;    6.7;  60.0;eor
       3289;1972120714;    1;    8.7;  69.0;eor
       3289;1972120721;    1;    7.7;  87.0;eor
       3289;1972120807;    1;    6.1;  90.0;eor
       3289;1972120814;    1;    7.2;  76.0;eor
       3289;1972120821;    1;    4.9;  87.0;eor
       3289;1972120907;    1;    3.5;  92.0;eor
       3289;1972120914;    1;    5.3;  71.0;eor
       3289;1972120921;    1;    4.7;  76.0;eor
       3289;1972121007;    1;    3.3;  78.0;eor
       3289;1972121014;    1;    5.8;  67.0;eor
       3289;1972121021;    1;    0.5;  88.0;eor
       3289;1972121107;    1;   -0.7; 100.0;eor
       3289;1972121114;    1;    2.3;  87.0;eor
       3289;1972121121;    1;    1.3;  86.0;eor
       3289;1972121207;    1;    0.6;  90.0;eor
       3289;1972121214;    1;    5.2;  66.0;eor
       3289;1972121221;    1;   -0.3;  87.0;eor
       3289;1972121307;    1;   -0.3;  87.0;eor
       3289;1972121314;    1;    5.1;  68.0;eor
       3289;1972121321;    1;   -0.3;  98.0;eor
       3289;1972121407;    1;    3.9;  80.0;eor
       3289;1972121414;    1;    8.5;  65.0;eor
       3289;1972121421;    1;    2.3;  90.0;eor
       3289;1972121507;    1;    2.6;  97.0;eor
       3289;1972121514;    1;   -0.5;  87.0;eor
       3289;1972121521;    1;   -0.5;  83.0;eor
       3289;1972121607;    1;   -1.3;  87.0;eor
       3289;1972121614;    1;    7.2;  57.0;eor
       3289;1972121621;    1;   -2.3;  94.0;eor
       3289;1972121707;    1;   -5.8;  98.0;eor
       3289;1972121714;    1;    4.7;  67.0;eor
       3289;1972121721;    1;   -4.2;  96.0;eor
       3289;1972121807;    1;   -3.7; 100.0;eor
       3289;1972121814;    1;   -0.3; 100.0;eor
       3289;1972121821;    1;   -0.1; 100.0;eor
       3289;1972121907;    1;    0.0;  96.0;eor
       3289;1972121914;    1;    0.4;  93.0;eor
       3289;1972121921;    1;    0.7;  93.0;eor
       3289;1972122007;    1;   -0.7;  96.0;eor
       3289;1972122014;    1;    1.3;  75.0;eor
       3289;1972122021;    1;   -3.3;  96.0;eor
       3289;1972122107;    1;   -6.7;  95.0;eor
       3289;1972122114;    1;   -0.1;  73.0;eor
       3289;1972122121;    1;   -3.5;  81.0;eor
       3289;1972122207;    1;   -6.0;  93.0;eor
       3289;1972122214;    1;   -0.4;  82.0;eor
       3289;1972122221;    1;   -2.3;  66.0;eor
       3289;1972122307;    1;   -4.9;  91.0;eor
       3289;1972122314;    1;    0.3;  65.0;eor
       3289;1972122321;    1;   -4.7;  82.0;eor
       3289;1972122407;    1;   -8.6;  97.0;eor
       3289;1972122414;    1;    1.5;  75.0;eor
       3289;1972122421;    1;   -3.5;  79.0;eor
       3289;1972122507;    1;   -6.1;  78.0;eor
       3289;1972122514;    1;   -0.1;  84.0;eor
       3289;1972122521;    1;   -5.8;  88.0;eor
       3289;1972122607;    1;   -9.0;  84.0;eor
       3289;1972122614;    1;    0.5;  86.0;eor
       3289;1972122621;    1;   -4.3;  78.0;eor
       3289;1972122707;    1;   -2.5;  94.0;eor
       3289;1972122714;    1;    0.9;  81.0;eor
       3289;1972122721;    1;    0.3;  82.0;eor
       3289;1972122807;    1;   -0.7;  94.0;eor
       3289;1972122814;    1;    1.4;  75.0;eor
       3289;1972122821;    1;    0.4;  84.0;eor
       3289;1972122907;    1;   -4.3;  89.0;eor
       3289;1972122914;    1;    0.9;  58.0;eor
       3289;1972122921;    1;   -5.4;  88.0;eor
       3289;1972123007;    1;   -8.0;  81.0;eor
       3289;1972123014;    1;    1.3;  59.0;eor
       3289;1972123021;    1;   -3.3;  58.0;eor
       3289;1972123107;    1;   -4.3;  69.0;eor
       3289;1972123114;    1;    1.8;  64.0;eor
       3289;1972123121;    1;   -1.9;  63.0;eor
       3289;1973010107;    1;   -3.1;  85.0;eor
       3289;1973010114;    1;    5.2;  45.0;eor
       3289;1973010121;    1;   -0.9;  72.0;eor
       3289;1973010207;    1;   -6.4;  87.0;eor
       3289;1973010214;    1;    2.8;  60.0;eor
       3289;1973010221;    1;   -8.2;  97.0;eor
       3289;1973010307;    1;   -9.4; 100.0;eor
       3289;1973010314;    1;   -1.9;  78.0;eor
       3289;1973010321;    1;   -1.4;  98.0;eor
       3289;1973010407;    1;   -0.2;  96.0;eor
       3289;1973010414;    1;    0.4;  93.0;eor
       3289;1973010421;    1;   -1.5;  98.0;eor
       3289;1973010507;    1;   -2.9;  96.0;eor
       3289;1973010514;    1;   -1.7;  94.0;eor
       3289;1973010521;    1;   -0.4;  96.0;eor
       3289;1973010607;    1;   -0.3; 100.0;eor
       3289;1973010614;    1;   -0.2; 100.0;eor
       3289;1973010621;    1;   -1.7; 100.0;eor
       3289;1973010707;    1;   -2.7; 100.0;eor
       3289;1973010714;    1;   -1.1;  98.0;eor
       3289;1973010721;    1;   -0.9; 100.0;eor
       3289;1973010807;    1;   -1.5; 100.0;eor
       3289;1973010814;    1;   -1.7; 100.0;eor
       3289;1973010821;    1;   -1.3;  98.0;eor
       3289;1973010907;    1;   -1.3; 100.0;eor
       3289;1973010914;    1;    0.3;  93.0;eor
       3289;1973010921;    1;    0.5;  91.0;eor
       3289;1973011007;    1;    0.3;  98.0;eor
       3289;1973011014;    1;    1.3;  97.0;eor
       3289;1973011021;    1;    0.5;  91.0;eor
       3289;1973011107;    1;    0.2;  96.0;eor
       3289;1973011114;    1;    1.1;  95.0;eor
       3289;1973011121;    1;    0.5;  96.0;eor
       3289;1973011207;    1;    0.9;  98.0;eor
       3289;1973011214;    1;    1.7;  92.0;eor
       3289;1973011221;    1;    1.0;  83.0;eor
       3289;1973011307;    1;   -1.5;  86.0;eor
       3289;1973011314;    1;    2.5;  64.0;eor
       3289;1973011321;    1;   -1.3;  87.0;eor
       3289;1973011407;    1;   -0.7;  83.0;eor
       3289;1973011414;    1;    2.9;  67.0;eor
       3289;1973011421;    1;    1.9;  75.0;eor
       3289;1973011507;    1;    1.5;  77.0;eor
       3289;1973011514;    1;    4.7;  67.0;eor
       3289;1973011521;    1;    1.3;  85.0;eor
       3289;1973011607;    1;    0.1;  89.0;eor
       3289;1973011614;    1;    1.9;  77.0;eor
       3289;1973011621;    1;    0.9;  95.0;eor
       3289;1973011707;    1;   -1.5;  86.0;eor
       3289;1973011714;    1;   -1.1;  87.0;eor
       3289;1973011721;    1;   -1.7;  79.0;eor
       3289;1973011807;    1;   -2.7;  90.0;eor
       3289;1973011814;    1;   -1.7;  79.0;eor
       3289;1973011821;    1;   -2.3;  94.0;eor
